"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ADNAN\Documents\travisor\admin\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\ADNAN\Documents\travisor\admin\package-lock.json", "JSON", 0, 0, 12897, 0, 0, 0, 0, 0, 1, 12898
"c:\Users\ADNAN\Documents\travisor\admin\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\Users\ADNAN\Documents\travisor\admin\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 23, 1, 50
"c:\Users\ADNAN\Documents\travisor\admin\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\ADNAN\Documents\travisor\admin\src\App.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\ADNAN\Documents\travisor\admin\src\App.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 4, 112
"c:\Users\ADNAN\Documents\travisor\admin\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADNAN\Documents\travisor\admin\src\ProtectedRoute.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ADNAN\Documents\travisor\admin\src\auth\authorization.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ADNAN\Documents\travisor\admin\src\components\Header.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Users\ADNAN\Documents\travisor\admin\src\components\card\ProfileCard.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 6, 106
"c:\Users\ADNAN\Documents\travisor\admin\src\components\flights\Flights.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 6, 13, 189
"c:\Users\ADNAN\Documents\travisor\admin\src\components\flights\ReturnFlights.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 6, 13, 199
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\ActivityForm.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\AddTravelPackageForm.js", "JavaScript", 657, 0, 0, 0, 0, 0, 0, 0, 22, 679
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\LoginForm.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\ProfileForm.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 4, 122
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\RegisterForm.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\ADNAN\Documents\travisor\admin\src\components\form\UpdateTravelPackageForm.js", "JavaScript", 709, 0, 0, 0, 0, 0, 0, 0, 22, 731
"c:\Users\ADNAN\Documents\travisor\admin\src\components\hotels\HotelFilters.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 1, 8, 172
"c:\Users\ADNAN\Documents\travisor\admin\src\components\hotels\Hotels.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 14, 175
"c:\Users\ADNAN\Documents\travisor\admin\src\components\loading\Loading.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\BookingRow.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\BookingTable.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\CancelledBookingRow.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\CancelledBookingTable.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\CustomerRequestRow.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\CustomerRequestTable.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\TravelPackageRow.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\ADNAN\Documents\travisor\admin\src\components\table\TravelPackagesTable.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\ADNAN\Documents\travisor\admin\src\components\transport\Transports.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
